Company,ADANI ENTERPRISES,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BHARTI AIRTEL,BPCL,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA CONSUMER,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
ADANI ENTERPRISES,1.0,0.8742291427462159,0.13650122642725263,0.29157904469382484,0.2977360862336093,0.201867776211633,0.3360300382295913,0.3565474447263317,0.5226699752500381,0.2828517562953506,0.45528419091818995,0.09423907763638453,0.4945313429525172,0.1645525571656566,0.3316437791536992,0.3444656457305796,0.13991523581484516,0.33811781037925426,0.2168396834622885,0.20857466024233823,0.3049654933426102,-0.0007955849132371898,0.3945805978025968,0.3913434063772981,0.11514954042896382,0.2458031299797866,0.4056628974656083,0.2437522708283246,0.4831355843659321,0.30453819797575615,0.3156591345806738,-0.015671354517557506,0.5459544877721224,0.4849083491910436,0.40394027048652853,0.4870966651186651,0.5446943605418172,0.2891927260669117,0.41029583681477416,0.1662527938697597,0.20384758647852325,0.32407053782906964,0.4235629737828254,0.11579106547836221,0.1416773708337847,0.283280920127949,0.19040364386148495,0.36114946920316626,0.22400232749994078
ADANI PORTS & SEZ,0.8742291427462159,1.0,0.16891558755853556,0.2740289699648514,0.3805174444603314,0.20447500803265017,0.3987598057496644,0.39804130432140655,0.5856773427792392,0.31655188172946036,0.49512460673155306,0.0911279853382216,0.546207524402693,0.16097816430814696,0.2696231604629611,0.35611184636522036,0.1526575017030534,0.3753103884380282,0.2470629790842552,0.20252782159769023,0.3377699888772664,0.0023762139765625425,0.44229783313857474,0.4224149798152875,0.1494123145980719,0.2737779354873751,0.43461227297523736,0.30583902681730674,0.5139780729225477,0.3193956522917108,0.30234458552790044,-0.05194135034238021,0.6104699225327681,0.5218085966163027,0.5117039186658491,0.5127381498279826,0.5795214267631822,0.2846186513227607,0.469897923727616,0.21587498643575442,0.22065928449486083,0.3392487168188865,0.4660452424296544,0.13243251863946856,0.14804843040226096,0.29614967897123434,0.20110013468159454,0.40249804368718894,0.23899715502764746
APOLLO HOSPITALS,0.13650122642725263,0.16891558755853556,1.0,0.25803170007646764,0.17938729050527238,0.22392980655204117,0.22312992746165217,0.24939282629979792,0.2246204229410312,0.23684104046032992,0.17499573912206784,0.23112690872759595,0.24355187905791767,0.23545520347253432,0.29035846622552125,0.2582017264327686,0.2792044115107228,0.11024901378550364,0.14167540860067548,0.24817637482304175,0.06256527592884902,0.10786489249838734,0.16432535529782769,0.12913270007561192,0.12169089012038463,0.17405174181423697,0.27607215931119483,0.1397970440228574,0.2358918121642108,0.2510567549672219,0.19406696421320505,0.03537510011818829,0.19414887902397782,0.17367155544488397,0.17846377642262531,0.2347331730850596,0.18286653603659614,0.16071535626844335,0.2917832426691377,0.28625470567583944,0.09670703167838184,0.21237033208213293,0.254736266232236,0.106860884420353,0.1691394080116077,0.253362656442073,0.08956486243249728,0.27296898469486214,0.2237558771978029
ASIAN PAINTS,0.29157904469382484,0.2740289699648514,0.25803170007646764,1.0,0.12604751448594992,0.16761331957699274,0.296926620339652,0.24808475210891953,0.1569217153267437,0.14691501567537213,0.2157614473019048,0.14700337739539746,0.19496820074728402,0.14995156497342424,0.2578871379932234,0.34442798580838047,0.11745511129671725,0.2643102059016017,0.2060146456771507,0.18015812780122278,0.21223456625126932,0.26988605569276,0.1588151249577102,0.18086531935342479,0.10429124881721284,0.2755417718758033,0.33354860032973715,0.18119815429045572,0.2230895228708915,0.14008580163865902,0.260358757191587,-0.04772282347399936,0.2220403985677447,0.12863944310136094,0.11163781668870296,0.2949540806193471,0.10784866196556381,0.220341212411465,0.202519885167346,0.20222157974802685,0.24426968675749403,0.10583325588703141,0.2870411430666742,0.1666837398562924,0.1629360528689959,0.30739871782139283,0.22303591595340053,0.28062299345661684,0.14062257962564953
AXIS BANK,0.2977360862336093,0.3805174444603314,0.17938729050527238,0.12604751448594992,1.0,0.19848433788222591,0.35407478736781384,0.3936836891487463,0.33051584287325536,0.23860726430043436,0.22294184739516534,0.0852648637679107,0.33255645343656737,0.09146483878047804,0.2861659138714063,0.36705621639300695,0.10750458735792959,0.4249330193868059,0.2514807554432242,0.17258941521280763,0.2273791449321508,0.009843455679323265,0.6367850599634499,0.3396527799039979,0.08647391865122532,0.27500275436107036,0.36596955543297477,0.29203991929725426,0.35208340479086125,0.23556185449493444,0.26037304593619087,-0.030773591868202346,0.3948164874907838,0.3134530077638801,0.2946971086081939,0.42345822498018093,0.5161243840448098,0.1830566489600817,0.4485669379206149,0.14400028336149043,0.13974946767912222,0.23214929910706292,0.37095901975689,0.094673666626794,0.1364760640574933,0.14593273059580775,0.19975417014282604,0.3970267663854875,0.20780766696863948
BAJAJ AUTO,0.201867776211633,0.20447500803265017,0.22392980655204117,0.16761331957699274,0.19848433788222591,1.0,0.17853235719804605,0.2376527467708547,0.23347334247086937,0.2621057312415848,0.21556570810448442,0.043562442369639486,0.22579372087897318,0.10490384979560373,0.2761625758932489,0.2006917050812174,0.12456351136264317,0.18224778935032104,0.19190828772263524,0.4068308018701712,0.2168829502851914,0.1249526110483977,0.10856115317752063,0.20608192710205683,-0.0034503068358840735,0.14042226693943394,0.22348056070092753,0.08263086545015132,0.17577668313530426,0.27167463176762363,0.3420053796028517,-0.10137424660774319,0.20259174437749436,0.1878910045333599,0.16840785243064793,0.24696710242301942,0.15488063685933906,0.19022361751170042,0.30116490594721423,0.15001531419527692,0.1851429834303894,0.2947143846182014,0.2836953569111621,0.017617797759151014,0.03791775659321265,0.20106055685883417,0.22346986867135557,0.2633704537428085,0.10252556089393498
BAJAJ FINANCE,0.3360300382295913,0.3987598057496644,0.22312992746165217,0.296926620339652,0.35407478736781384,0.17853235719804605,1.0,0.7487197770785571,0.3158004307672832,0.2916142901670122,0.27259278701389,0.053721704316141074,0.2802361157262102,0.08830402480388055,0.1895645091912414,0.36896614717090864,0.1831703337114507,0.3316256057689474,0.3070971766025089,0.1712237612820766,0.25452907399853647,0.1274327553973016,0.3499918381864611,0.4062697255317033,0.19743554768512517,0.30439950163275276,0.39092469579774497,0.31590225072517397,0.37891260628197343,0.2679496818746724,0.28124064065120896,0.013333516651850152,0.3282460595744805,0.31628886466194983,0.24508341010475015,0.4133371374492715,0.39768480777386,0.3350950352971222,0.46160405180572206,0.13724119590345674,0.2363654816846162,0.21274044016311497,0.38161123889818677,0.17441716399146906,0.1733478584184308,0.26903659373668004,0.22915235273460324,0.4345426821196502,0.2385046231931603
BAJAJ FINSERV,0.3565474447263317,0.39804130432140655,0.24939282629979792,0.24808475210891953,0.3936836891487463,0.2376527467708547,0.7487197770785571,1.0,0.3462576759853771,0.2576610386172701,0.3452848392719529,0.1359302028514162,0.27973947191958687,0.2577575212407946,0.24135626431048482,0.43509706867610926,0.26782564286994776,0.3187062698827385,0.3473512250725722,0.23621152518328709,0.29624245769355884,0.1394541208676313,0.41541684051779526,0.42295499921665397,0.2413487457830405,0.30363673608292885,0.44752569518703555,0.27310438907253376,0.3989930267314691,0.33767975654363414,0.3292762451225681,-0.0016148849465844938,0.3912243738221925,0.3057373985320532,0.30703265929141405,0.40720136797123724,0.41985825527310067,0.4057180259522815,0.46878944163220565,0.21324228116736021,0.304497666835093,0.2801699852596765,0.45657088081873054,0.2348427950896261,0.20427735995001475,0.32952738313507207,0.20112933319667356,0.46310456735412303,0.3066497922868929
BHARAT ELECTRONICS,0.5226699752500381,0.5856773427792392,0.2246204229410312,0.1569217153267437,0.33051584287325536,0.23347334247086937,0.3158004307672832,0.3462576759853771,1.0,0.3093357469655516,0.5058211564228255,0.08242607417589452,0.6202697772669805,0.13148634748737176,0.28425113564226157,0.33794716355847443,0.22407746093906422,0.3307610003665849,0.2513070069628718,0.08781185047450502,0.37588655471374904,-0.058288178157353,0.31376062277599637,0.30857409114326295,0.16473155310722445,0.23020091171130044,0.45879405415291485,0.26651207432664875,0.5914023959317504,0.36953275268876495,0.22464655617903,-0.06919584532733018,0.6078992466169826,0.5723830703701827,0.5447765298806021,0.49250626558630234,0.5802229979258646,0.2099500638798067,0.47549497139729124,0.16358042989479407,0.17581649442953284,0.3671859916792752,0.5203635389216886,0.12077834719668375,0.22242311196662543,0.16676913305262894,0.26347157324297193,0.4355206095402052,0.25587774720011086
BHARTI AIRTEL,0.2828517562953506,0.31655188172946036,0.23684104046032992,0.14691501567537213,0.23860726430043436,0.2621057312415848,0.2916142901670122,0.2576610386172701,0.3093357469655516,1.0,0.2650538140250519,0.11998706534923387,0.26705994609954514,0.17810579227069076,0.2947664897259383,0.2972192850078165,0.2584788583968466,0.21104270777622802,0.2150376709803914,0.18395488260351425,0.2941694857603527,0.15852697272327756,0.36663716060905677,0.23160014002035745,0.28887118942872475,0.26052005790245747,0.36484433288581436,0.31898526062189647,0.3239518613479822,0.2919706728486835,0.34807862932079076,-0.056122700003248656,0.3662120898598785,0.346425582106963,0.3112653446972384,0.3659957892795707,0.2903860463518228,0.24173388162937737,0.3608200235681763,0.27227934885061433,0.24873751806693703,0.2693487533297602,0.30535530147778867,0.19320368092212453,0.2723831104721673,0.2760347714420365,0.24799951889492397,0.3541464361333421,0.2591588749044616
