month,Ticker,Company,Daily_Return,Rank
October 2023,NESTLEIND,NESTLE,9.547096493008887,1
October 2023,COALINDIA,COAL INDIA,0.07657770452163444,2
October 2023,BAJAJ-AUTO,BAJAJ AUTO,0.06099717917016377,3
October 2023,SBILIFE,SBI LIFE INSURANCE,0.05837862712999844,4
October 2023,TRENT,TRENT,0.04803524846208892,5
October 2023,TATASTEEL,TATA STEEL,-0.07359577643483539,-5
October 2023,TECHM,TECH MAHINDRA,-0.06950362744557217,-4
October 2023,SBIN,SBI,-0.06243574800761069,-3
October 2023,APOLLOHOSP,APOLLO HOSPITALS,-0.05921688513817827,-2
October 2023,BAJFINANCE,BAJAJ FINANCE,-0.059032832577201697,-1
November 2023,NESTLEIND,NESTLE,9.450124265319598,1
November 2023,TRENT,TRENT,0.2627694167012252,2
November 2023,BPCL,BPCL,0.2243140771650462,3
November 2023,HEROMOTOCO,HERO MOTOCORP,0.21614488086150935,4
November 2023,EICHERMOT,EICHER MOTORS,0.1706354744343142,5
November 2023,BAJFINANCE,BAJAJ FINANCE,-0.04935006272416174,-5
November 2023,SBIN,SBI,-0.0004162586282832788,-4
November 2023,KOTAKBANK,KOTAK MAHINDRA BANK,0.009499638261761745,-3
November 2023,CIPLA,CIPLA,0.01437758367654016,-2
November 2023,ITC,ITC,0.01751490414511831,-1
December 2023,NESTLEIND,NESTLE,10.08658433282587,1
December 2023,BEL,BHARAT ELECTRONICS,0.23780010240624683,2
December 2023,ADANIPORTS,ADANI PORTS & SEZ,0.23112440351941235,3
December 2023,ADANIGREEN,ADANI ENTERPRISES,0.2074633907911235,4
December 2023,NTPC,NTPC,0.1793129489921441,5
December 2023,HDFCLIFE,HDFC LIFE INSURANCE,-0.0632663578088078,-5
December 2023,MARUTI,MARUTI SUZUKI,-0.028499572567393276,-4
December 2023,SBILIFE,SBI LIFE INSURANCE,-0.0008616637363099522,-3
December 2023,DRREDDY,DR. REDDYS LAB,0.003910115622405903,-2
December 2023,BAJAJFINSV,BAJAJ FINSERV,0.00835874398820636,-1
January 2024,NESTLEIND,NESTLE,11.202088705294559,1
January 2024,ONGC,ONGC,0.2157874480276142,2
January 2024,SHRIRAMFIN,SHRIRAM FINANCE,0.18798473403236562,3
January 2024,ADANIPORTS,ADANI PORTS & SEZ,0.1702062284792381,4
January 2024,AIRTEL,BHARTI AIRTEL,0.12862274249947228,5
January 2024,HDFCBANK,HDFC BANK,-0.14981819940536095,-5
January 2024,ASIANPAINT,ASIAN PAINTS,-0.13851990624263644,-4
